Ma_truong,Ten_truong,Dia_chi
79000707,Phổ thông Năng khiếu thể thao Olympic,"Đại học Thể dục thể thao TP. Hồ Chí Minh
Khu phố 6 - phường Linh Trung - Quận Thủ Đức - TP. Hồ Chí Minh"
79000767,Tiểu học THCS và THPT Quốc Văn Sài Gòn,300 Hòa Bình
79000774,TH - THCS - THPT Chu Văn An,Số 7 Đường Số 1 Khu Phố 1
79000791,Trung học cơ sở và trung học phổ thông Phùng Hưng,14A Đường số 1 Phường 16 Quận Gò vấp TP Hồ Chí Minh
79000799,THCS - THPT Trần Cao Vân,126 Tô Hiệu
790007A4,THCS và THPT Nam Việt,25 21/1-3 23/7-9 Dương Đức Hiền
790007B4,THCS và THPT Hai Bà Trưng,51/4 Nguyễn Thị Nhỏ
790007B9,Tiểu học THCS và THPT Mùa Xuân,92 Nguyễn Hữu Cảnh phường 22 Quận Bình Thạnh
79000809,THCS và THPT Đăng Khoa,571 Cô Bắc
79000810,THCS và THPT Hồng Hà,170 Quang Trung
79000811,TH THCS THPT Tuệ Đức (2),249/108 Tân Thới Nhất 17
79000812,THCS và THPT Nguyễn Bỉnh Khiêm,140 Lý Chính Thắng
79000813,Tiểu học THCS và THPT Ngô Thời Nhiệm,65D Hồ Bá Phấn
79000814,THCSTHPT An Đông,91 Nguyễn Chí Thanh
79000815,THCS THPT  Ngôi Sao,Đường số 18 Khu dân cư An Lạc
79000816,THCS-THPT Phan Bội Châu,
79000818,TH - THCS - THPT VẠN HẠNH,781e Lê Hồng Phong P12 Q10
79000820,THPT Nam Sài Gòn,Khu A Nam Sài Gòn
79000822,THCS-THPT Hồng Đức,Số 8Đường Hồ Đắc DiPhường Tây ThạnhQuận Tân Phú TP Hồ Chí Minh
79000824,THCS và THPT Bắc Sơn,338/24 Nguyễn Văn Quá P. Đông Hưng Thuận Quận 12
79000825,THCS và THPT Phạm Ngũ Lão,69/11 Phạm Văn Chiêu P14 Gò Vấp
79000826,THCS và THPT Bạch Đằng,53/1 Phan Văn Hớn
79000828,TH THCS và THPT Quốc Tế,305 Nguyễn Trọng Tuyển Phường 10 Quận Phú Nhuận
79000829,THCS và THPT  Việt Thanh,261 Cộng Hòa
79000830,THCS và THPT Trí Đức,1333A Thoại Ngọc Hầu
79000831,THCS và THPT Thái Bình,10 Trương Hoàng Thanh
79000832,TH-THCS-THPT Thanh Bình,192/12 Nguyễn Thái Bình
79000834,THCS và THPT Nhân Văn,17 Sơn Kỳ
79000835,THCS - THPT Nguyễn Khuyến,136 Cộng Hòa
79000836,TH THCS và THPT Trương Vĩnh Ký,
79000838,THCS THPT Phan Châu Trinh,Số 12 Đường 23
79000841,THCS - THPT Duy Tân,106 Nguyễn Giản Thanh
79000846,THCS và THPT Châu Á Thái Bình Dương,33 C D E Nguyễn Bỉnh Khiêm
79000848,Tiểu học THCS và THPT Việt Mỹ,
79000849,THCS và THPT Đức Trí,39/23 Bùi Văn Ba khu phố 2
79000850,THCS và THPT Đinh Thiện Lý,Lô 01 Khu A Nam Sài Gòn
79000851,THCS - THPT Sao Việt,650q/15 Nguyễn Hữu Thọ
79000852,TH THCS và THPT Nam Mỹ,
79000853,Trung học thực hành Sài Gòn,220 Tần Bình Trọng
79000854,THCS - THPT Lạc Hồng,2276/5 Quốc lộ 1A
79000855,THCS và THPT Quang Trung Nguyễn Huệ,223 Nguyễn Tri Phương
79000856,THCS và THPT Khai Minh,410 Tân Kỳ Tân Quý
79000857,THCS  VÀ THPT NGỌC VIỄN ĐÔNG,
79000858,Tiểu học THCS và THPT Tân Phú,519 Kênh Tân Hóa
79000859,THCS - THPT Bác Ái,187 Gò Cẩm Đệm P.10 Q.Tân Bình TP.HCM
